word,category,difficulty,length,is_christmas_theme,is_bonus
abundance,Christmas,Hard,9,True,False
acclamation,Christmas,Expert,11,True,False
adoration,Christmas,Hard,9,True,False
afterglow,Christmas,Hard,9,True,False
ambassador,Christmas,Hard,10,True,False
antelope,Christmas,Hard,8,True,False
anticipation,Christmas,Expert,12,True,False
applewood,Christmas,Hard,9,True,False
arrangement,Christmas,Expert,11,True,False
astonishment,Christmas,Expert,12,True,False
atmosphere,Christmas,Hard,10,True,False
avalanche,Christmas,Hard,9,True,False
beautifully,Christmas,Expert,11,True,False
benevolence,Christmas,Expert,11,True,False
blackberry,Christmas,Hard,10,True,False
boardwalk,Christmas,Hard,9,True,False
bonfire,Christmas,Medium,7,True,False
candlelight,Christmas,Expert,11,True,False
caribou,Christmas,Medium,7,True,False
celebration,Christmas,Expert,11,True,False
charitable,Christmas,Hard,10,True,False
chestnuts,Christmas,Hard,9,True,False
christmastide,Christmas,Expert,13,True,False
cinnamonroll,Christmas,Expert,12,True,False
companionship,Christmas,Expert,13,True,False
congregation,Christmas,Expert,12,True,False
contentment,Christmas,Expert,11,True,False
cranberries,Christmas,Expert,11,True,False
declaration,Christmas,Expert,11,True,False
delightful,Christmas,Hard,10,True,False
devotion,Christmas,Hard,8,True,False
evergreenesque,Christmas,Expert,14,True,False
fellowship,Christmas,Hard,10,True,False
firelight,Christmas,Hard,9,True,False
fireplaces,Christmas,Hard,10,True,False
fruitcakes,Christmas,Hard,10,True,False
generosity,Christmas,Hard,10,True,False
gingerbreads,Christmas,Expert,12,True,False
gladness,Christmas,Hard,8,True,False
grandparent,Christmas,Expert,11,True,False
gratitude,Christmas,Hard,9,True,False
hallelujah,Christmas,Hard,10,True,False
handcrafted,Christmas,Expert,11,True,False
heartwarming,Christmas,Expert,12,True,False
homespun,Christmas,Hard,8,True,False
hospitality,Christmas,Expert,11,True,False
illumination,Christmas,Expert,12,True,False
inspiration,Christmas,Expert,11,True,False
joyfulhearted,Christmas,Expert,13,True,False
lanternlight,Christmas,Expert,12,True,False
masterpiece,Christmas,Expert,11,True,False
moonlighted,Christmas,Expert,11,True,False
neighborhood,Christmas,Expert,12,True,False
nutcrackers,Christmas,Expert,11,True,False
peppermints,Christmas,Expert,11,True,False
perseverance,Christmas,Expert,12,True,False
pinecones,Christmas,Hard,9,True,False
pomegranate,Christmas,Expert,11,True,False
preparations,Christmas,Expert,12,True,False
proclamation,Christmas,Expert,12,True,False
reflections,Christmas,Expert,11,True,False
rejoicing,Christmas,Hard,9,True,False
remembrance,Christmas,Expert,11,True,False
restoration,Christmas,Expert,11,True,False
revelry,Christmas,Medium,7,True,False
snowblower,Christmas,Hard,10,True,False
snowcovered,Christmas,Expert,11,True,False
snowflakes,Christmas,Hard,10,True,False
snowmobile,Christmas,Hard,10,True,False
snowshoeing,Christmas,Expert,11,True,False
storyteller,Christmas,Expert,11,True,False
thankfulness,Christmas,Expert,12,True,False
togetherness,Christmas,Expert,12,True,False
traditionary,Christmas,Expert,12,True,False
tranquility,Christmas,Expert,11,True,False
twinklingly,Christmas,Expert,11,True,False
wintergreen,Christmas,Expert,11,True,False
wonderment,Christmas,Hard,10,True,False
yuletides,Christmas,Hard,9,True,False
adventurer,Christmas,Hard,10,True,False
ambassadorial,Christmas,Expert,13,True,False
angelicness,Christmas,Expert,11,True,False
blessedness,Christmas,Expert,11,True,False
candleholder,Christmas,Expert,12,True,False
caroling,Christmas,Hard,8,True,False
celebrationist,Christmas,Expert,14,True,False
cheerfulness,Christmas,Expert,12,True,False
christening,Christmas,Expert,11,True,False
comforting,Christmas,Hard,10,True,False
congregationer,Christmas,Expert,14,True,False
decorating,Christmas,Hard,10,True,False
devotional,Christmas,Hard,10,True,False
enchantment,Christmas,Expert,11,True,False
faithfulness,Christmas,Expert,12,True,False
festivity,Christmas,Hard,9,True,False
frostbite,Christmas,Hard,9,True,False
goodwill,Christmas,Hard,8,True,False
hearthstone,Christmas,Expert,11,True,False
holidaymaker,Christmas,Expert,12,True,False
illuminationist,Christmas,Expert,15,True,False
joyfulness,Christmas,Hard,10,True,False
kindheartedness,Christmas,Expert,15,True,False
lanterns,Christmas,Hard,8,True,False
marshmallows,Christmas,Expert,12,True,False
merriment,Christmas,Hard,9,True,False
miraculous,Christmas,Hard,10,True,False
nativityscene,Christmas,Expert,13,True,False
neighborhoods,Christmas,Expert,13,True,False
ornamentation,Christmas,Expert,13,True,False
peacefulness,Christmas,Expert,12,True,False
poinsettias,Christmas,Expert,11,True,False
procession,Christmas,Hard,10,True,False
reconciliation,Christmas,Expert,14,True,False
refreshment,Christmas,Expert,11,True,False
reindeerland,Christmas,Expert,12,True,False
rejoicingly,Christmas,Expert,11,True,False
restorationist,Christmas,Expert,14,True,False
sanctuary,Christmas,Hard,9,True,False
shepherding,Christmas,Expert,11,True,False
silverbells,Christmas,Expert,11,True,False
snowboarding,Christmas,Expert,12,True,False
snowdrifts,Christmas,Hard,10,True,False
snowfields,Christmas,Hard,10,True,False
snowfalls,Christmas,Hard,9,True,False
snowstorms,Christmas,Hard,10,True,False
traditions,Christmas,Hard,10,True,False
treetopper,Christmas,Hard,10,True,False
wintertime,Christmas,Hard,10,True,False
wonderlands,Christmas,Expert,11,True,False
worshippers,Christmas,Expert,11,True,False
